<TICKER>,<DATE>,<CLOSE>
TATN,28/09/11,133.39
TATN,29/09/11,129.92
TATN,30/09/11,135.14
TATN,01/10/11,135.49
TATN,04/10/11,132.5
TATN,05/10/11,128.12
TATN,06/10/11,124.79
TATN,07/10/11,129.58
TATN,08/10/11,132.07
TATN,11/10/11,137.88
TATN,12/10/11,133.95
TATN,13/10/11,138.0
TATN,14/10/11,137.78
TATN,15/10/11,138.59
TATN,18/10/11,135.96
TATN,19/10/11,144.26
TATN,20/10/11,141.5
TATN,21/10/11,141.22
TATN,22/10/11,144.92
TATN,25/10/11,147.9
TATN,26/10/11,149.28
TATN,27/10/11,153.24
TATN,28/10/11,152.03
TATN,29/10/11,153.94
TATN,01/11/11,151.35
TATN,02/11/11,149.36
TATN,03/11/11,153.99
TATN,04/11/11,154.3
TATN,08/11/11,157.82
TATN,09/11/11,158.07
TATN,10/11/11,154.68
TATN,11/11/11,160.99
TATN,12/11/11,165.87
TATN,15/11/11,164.55
TATN,16/11/11,160.03
TATN,17/11/11,160.14
TATN,18/11/11,157.05
TATN,19/11/11,154.14
TATN,22/11/11,143.7
TATN,23/11/11,148.26
TATN,24/11/11,146.67
TATN,25/11/11,144.2
TATN,26/11/11,147.79
TATN,29/11/11,158.13
TATN,30/11/11,157.7
TATN,01/12/11,164.18
TATN,02/12/11,166.25
TATN,03/12/11,165.67
TATN,06/12/11,168.85
TATN,07/12/11,164.02
TATN,08/12/11,161.0
TATN,09/12/11,161.07
TATN,10/12/11,153.5
TATN,13/12/11,146.11
TATN,14/12/11,152.15
TATN,15/12/11,153.61
TATN,16/12/11,152.0
TATN,17/12/11,146.51
TATN,20/12/11,149.73
TATN,21/12/11,154.22
TATN,22/12/11,149.4
TATN,23/12/11,151.69
TATN,24/12/11,150.86
TATN,27/12/11,153.63
TATN,28/12/11,155.0
TATN,29/12/11,156.39
TATN,30/12/11,154.0
TATN,31/12/11,158.4
TATN,04/01/12,172.01
TATN,05/01/12,173.24
TATN,06/01/12,168.91
TATN,07/01/12,170.0
TATN,10/01/12,172.2
TATN,11/01/12,174.0
TATN,12/01/12,169.9
TATN,13/01/12,168.61
TATN,14/01/12,167.5
TATN,17/01/12,168.0
TATN,18/01/12,169.5
TATN,19/01/12,171.82
TATN,20/01/12,174.57
TATN,21/01/12,176.97
TATN,24/01/12,177.69
TATN,25/01/12,175.0
TATN,26/01/12,173.6
TATN,27/01/12,176.24
TATN,28/01/12,173.53
TATN,31/01/12,170.24
TATN,01/02/12,177.55
TATN,02/02/12,177.5
TATN,03/02/12,178.42
TATN,04/02/12,179.84
TATN,07/02/12,179.06
TATN,08/02/12,177.97
TATN,09/02/12,177.24
TATN,10/02/12,176.27
TATN,11/02/12,173.9
TATN,14/02/12,174.94
TATN,15/02/12,176.5
TATN,16/02/12,179.93
TATN,17/02/12,180.9
TATN,18/02/12,183.49
TATN,21/02/12,187.98
TATN,22/02/12,187.71
TATN,23/02/12,186.72
TATN,25/02/12,191.22
TATN,28/02/12,188.72
TATN,29/02/12,187.54
TATN,01/03/12,194.45
TATN,02/03/12,194.4
TATN,03/03/12,194.7
TATN,06/03/12,195.63
